Time,Output,Control
0.01,0.42000,21.00000
0.02,0.83496,21.00000
0.03,1.24494,21.00000
0.04,1.65000,21.00000
0.05,2.05020,21.00000
0.06,2.44560,21.00000
0.07,2.83625,21.00000
0.08,3.22222,21.00000
0.09,3.60355,21.00000
0.10,3.98031,21.00000
0.11,4.35254,21.00000
0.12,4.72031,21.00000
0.13,5.08367,21.00000
0.14,5.44266,21.00000
0.15,5.79735,21.00000
0.16,6.14778,21.00000
0.17,6.49401,21.00000
0.18,6.83608,21.00000
0.19,7.17405,21.00000
0.20,7.50796,21.00000
0.21,7.83787,21.00000
0.22,8.16381,21.00000
0.23,8.48585,21.00000
0.24,8.80402,21.00000
0.25,9.11837,21.00000
0.26,9.35803,17.45405
0.27,9.50045,12.73618
0.28,9.58616,9.98536
0.29,9.63769,8.32846
0.30,9.66869,7.33228
0.31,9.68733,6.73328
0.32,9.69854,6.37312
0.33,9.70529,6.15656
0.34,9.70935,6.02634
0.35,9.71180,5.94804
0.36,9.71328,5.90096
0.37,9.71418,5.87268
0.38,9.71472,5.85566
0.39,9.71505,5.84544
0.40,9.71525,5.83930
0.41,9.71538,5.83561
0.42,9.71547,5.83340
0.43,9.71552,5.83207
0.44,9.71556,5.83127
0.45,9.71559,5.83079
0.46,9.71561,5.83051
0.47,9.71563,5.83035
0.48,9.71565,5.83023
0.49,9.71566,5.83018
0.50,9.71568,5.83016
0.51,9.71569,5.83014
0.52,9.71571,5.83014
0.53,9.71572,5.83013
0.54,9.71574,5.83013
0.55,9.71575,5.83013
0.56,9.71576,5.83015
0.57,9.71578,5.83015
0.58,9.71579,5.83016
0.59,9.71581,5.83016
0.60,9.71582,5.83018
0.61,9.71583,5.83018
0.62,9.71585,5.83019
0.63,9.71586,5.83019
0.64,9.71588,5.83021
0.65,9.71589,5.83021
0.66,9.71590,5.83022
0.67,9.71592,5.83024
0.68,9.71593,5.83024
0.69,9.71594,5.83026
0.70,9.71596,5.83025
0.71,9.71597,5.83027
0.72,9.71599,5.83027
0.73,9.71600,5.83029
0.74,9.71601,5.83028
0.75,9.71603,5.83030
0.76,9.71604,5.83030
0.77,9.71605,5.83032
0.78,9.71607,5.83031
0.79,9.71608,5.83033
0.80,9.71610,5.83035
0.81,9.71611,5.83034
0.82,9.71612,5.83036
0.83,9.71614,5.83036
0.84,9.71615,5.83038
0.85,9.71616,5.83037
0.86,9.71618,5.83039
0.87,9.71619,5.83039
0.88,9.71621,5.83041
0.89,9.71622,5.83042
0.90,9.71623,5.83042
0.91,9.71625,5.83044
0.92,9.71626,5.83043
0.93,9.71628,5.83045
0.94,9.71629,5.83045
0.95,9.71630,5.83047
0.96,9.71632,5.83046
0.97,9.71633,5.83048
0.98,9.71634,5.83050
0.99,9.71636,5.83049
1.00,9.71637,5.83051
1.01,9.71638,5.83051
1.02,9.71640,5.83052
1.03,9.71641,5.83052
1.04,9.71643,5.83054
1.05,9.71644,5.83056
1.06,9.71645,5.83055
1.07,9.71647,5.83057
1.08,9.71648,5.83057
1.09,9.71650,5.83058
1.10,9.71651,5.83058
1.11,9.71652,5.83060
1.12,9.71654,5.83059
1.13,9.71655,5.83061
1.14,9.71656,5.83063
1.15,9.71658,5.83062
1.16,9.71659,5.83064
1.17,9.71661,5.83064
1.18,9.71662,5.83066
1.19,9.71663,5.83065
1.20,9.71665,5.83067
1.21,9.71666,5.83068
1.22,9.71667,5.83068
1.23,9.71669,5.83070
1.24,9.71670,5.83069
1.25,9.71671,5.83071
1.26,9.71673,5.83073
1.27,9.71674,5.83072
1.28,9.71676,5.83074
1.29,9.71677,5.83074
1.30,9.71678,5.83075
